Start Time,2023-12-15 10:45:45.369
Scope Points,402
Scope Interval(ms),10
SineOut,SineOut2,StepOut
4.44634830579995,8.95712523226755,10
4.44634830579995,8.95712523226755,10
4.44634830579995,8.95712523226755,10
4.44634830579995,8.95712523226755,10
4.44634830579995,8.95712523226755,10
4.63295674537972,8.86204382436335,10
4.81753302044318,8.76307523771097,10
4.99999616987256,8.66026288313014,10
5.18026615943525,8.55365185744139,10
5.35826391688942,8.4432889236851,10
5.53391136666766,8.32922249060978,10
5.70713146412346,8.21150259143838,10
5.87784822932543,8.09018086192214,10
6.04598678038461,7.96531051769144,10
6.21147336630006,7.83694633091375,10
6.37423539930844,7.70514460626874,10
6.53420148672334,7.56996315625127,10
6.69130146225041,7.43146127581295,10
6.8454664167646,7.28969971635344,10
6.99662872853588,7.14474065907294,10
7.14472209289036,6.9966476876975,10
7.28968155129363,6.84548576058916,10
7.43144351984369,6.69132118225308,10
7.5699458171609,6.5342215742543,10
7.70512769166274,6.37425584555664,10
7.83692984821142,6.21149416229712,10
7.96529447412263,6.04600791700873,10
8.09016526452407,5.8778696973054,10
8.21148744705258,5.70715325404273,10
8.32920780587906,5.53393346896848,10
8.44327470505066,5.358286321877,10
8.55363811113998,5.18028885728203,10
8.66024961519134,5.00001915062254,10
8.76306245395452,4.81755627401627,10
8.86203153039661,4.63298026157613,10
8.95711343348307,4.44637207430473,10
9.04826645721917,4.25781356458219,10
9.1354506189436,4.06738744026306,10
9.21862767686617,3.87517722839803,10
9.29776114684188,3.6812672385962,10
9.37281631837404,3.4857425260442,10
9.44376026983944,3.28868885419823,10
9.51056188292881,3.09019265716544,10
9.57319185629634,2.89034100179113,10
9.63162271841217,2.68922154946841,10
9.68582883961232,2.48692251768713,10
9.73578644334067,2.28353264133875,10
9.78147361657811,2.07914113379445,10
9.82287031945436,1.87383764777319,10
9.85995839403802,1.66771223601715,10
9.89272157230129,1.46085531179171,10
9.92114548325564,1.25335760922725,10
